lat,lon,month,avg,std,spike,reduction
10.5,79.5,2,35.03711329449728,1.8735176979658308,40.65766638839477,29.41656020059979
10.5,79.5,3,34.97370559810451,1.5206264112742864,39.535584831927366,30.41182636428165
10.5,79.5,4,30.487644435461956,1.9580780647110725,36.361878629595175,24.613410241328737
11.5,72.5,1,31.092573869198308,0.9703338040345565,34.00357528130198,28.18157245709464
11.5,72.5,2,32.25952850764266,1.1688535274058263,35.766089089860145,28.752967925425185
11.5,72.5,3,27.855524246798158,1.3728932509969933,31.97420399978914,23.736844493807176
11.5,72.5,4,30.154272521059784,1.1442632254980305,33.58706219755388,26.721482844565692
11.5,75.5,1,29.393162547732068,1.0690799437903935,32.60040237910325,26.18592271636089
11.5,75.5,2,31.236116108355983,1.3367129850351702,35.24625506346149,27.225977153250472
11.5,75.5,3,26.804070386142417,1.50558457301798,31.32082410519636,22.287316667088476
11.5,75.5,4,28.13502012245245,1.0713786995444214,31.349156221085714,24.920884023819184
11.5,76.5,1,28.906196065400845,1.439160542727211,33.22367769358248,24.588714437219213
11.5,76.5,2,31.74902819327446,1.4881414170264549,36.21345244435382,27.284603942195094
11.5,76.5,3,27.23383452715164,1.524165755590502,31.806331793923146,22.661337260380133
11.5,76.5,4,27.447036315557067,1.1686237080987418,30.95290743985329,23.941165191260843
11.5,77.5,1,29.60195223628692,1.6622194000872124,34.58861043654856,24.615294036025283
11.5,77.5,2,33.2405051934443,1.603028508006844,38.04959071746483,28.431419669423768
11.5,77.5,3,29.20826740189549,1.4896419648335406,33.67719329639611,24.73934150739487
11.5,77.5,4,28.113579532269025,1.4625577568196886,32.50125280272809,23.72590626180996
11.5,78.5,1,31.614446223892404,1.729509130261381,36.802973614676546,26.425918833108263
11.5,78.5,2,36.746044652173914,1.7953079565611731,42.13196852185743,31.360120782490394
11.5,78.5,3,34.91239581352459,1.6212546381017627,39.77615972782988,30.048631899219302
11.5,78.5,4,30.729191938179344,1.9415983577966143,36.553987011569184,24.9043968647895
11.5,79.5,1,30.434466996044303,1.3714852278945033,34.548922679727816,26.320011312360794
11.5,79.5,2,34.94172173488451,2.006641166504111,40.96164523439684,28.921798235372176
11.5,79.5,3,35.20540391867315,1.6518369318314454,40.16091471416748,30.24989312317881
11.5,79.5,4,30.49902235580842,1.9974073175970202,36.491244308599484,24.50680040301736
12.5,74.5,1,30.59619200580169,1.0724411220641334,33.81351537199409,27.37886863960929
12.5,74.5,2,32.14505430655571,1.3452660364224318,36.180852415823004,28.10925619728841
12.5,74.5,3,26.900554093493852,1.6215122680269318,31.765090897574648,22.036017289413056
12.5,74.5,4,29.328596719769017,1.15868181102778,32.80464215285236,25.852551286685678
12.5,75.5,1,30.29769345543249,1.14415563487048,33.73016036004393,26.86522655082105
12.5,75.5,2,32.17441092476223,1.407395476339463,36.396597353780614,27.952224495743838
12.5,75.5,3,26.81691707044057,1.6427271663242058,31.745098569413187,21.888735571467954
12.5,75.5,4,28.851350271739133,1.1200380246309154,32.21146434563188,25.491236197846387
12.5,76.5,1,27.44095712948312,1.5650466174075413,32.13609698170575,22.745817277260496
12.5,76.5,2,30.828002375849184,1.5324303729180961,35.42529349460347,26.230711257094896
12.5,76.5,3,25.88649668929303,1.6080283586633135,30.71058176528297,21.062411613303087
12.5,76.5,4,25.730521143172556,1.2614569517484477,29.514891998417898,21.946150287927214
12.5,77.5,1,29.901327033227844,1.8967705841806326,35.59163878576974,24.211015280685945
12.5,77.5,2,34.42970145567256,1.6505930125627208,39.38148049336072,29.477922417984395
12.5,77.5,3,30.23457139369877,1.6429107008777397,35.16330349633199,25.30583929106555
12.5,77.5,4,28.238792743546195,1.5748524821160412,32.96335018989432,23.51423529719807
12.5,78.5,1,30.39515128507384,1.9876043745400422,36.35796440869397,24.432338161453714
12.5,78.5,2,35.78060415625,1.8288594562679734,41.26718252505392,30.29402578744608
12.5,78.5,3,32.47137637692111,1.7542974092213421,37.73426860458513,27.20848414925708
12.5,78.5,4,29.053015288383154,1.9092355300035206,34.78072187839371,23.32530869837259
12.5,79.5,1,30.819788826476792,1.6371671655400069,35.731290323096815,25.90828732985677
12.5,79.5,2,36.287059629925274,2.2516625220058337,43.04204719594277,29.532072063907773
12.5,79.5,3,35.20107627651127,1.9609922657668486,41.084053073811816,29.318099479210726
12.5,79.5,4,30.465072259850544,2.080982829059921,36.708020747030304,24.22212377267078
12.5,80.5,1,30.49069635205696,1.5251899922546304,35.06626632882085,25.91512637529307
