,lat,lon,avg,std,spike,reduction
1161,28.5,91.5,29.316624839164405,2.441564675419003,36.641318865421404,21.991930812907395
1165,28.5,92.5,29.650984293138595,2.5912560334719035,37.424752393554314,21.877216192722887
1169,28.5,93.5,29.424996695430607,2.6925732083227123,37.50271632039875,21.347277070462468
1173,28.5,94.5,29.43354914761905,2.7282946735555695,37.618433168285755,21.24866512695234
1177,28.5,95.5,29.547499072367295,2.7970897877505188,37.938768435618854,21.156229709115745
1181,29.5,72.5,36.080757579823384,5.3946104100135015,52.26458880986388,19.896926349782873
1185,29.5,73.5,35.48471257642664,5.505277937353734,52.00054638848784,18.968878764365424
1189,29.5,74.5,35.29233234035326,5.622643472501005,52.16026275785627,18.424401922850247
1193,29.5,75.5,35.016312823709235,5.617209100271019,51.867940124522285,18.164685522896182
1197,29.5,76.5,34.81147664249321,5.524095633928353,51.38376354427827,18.239189740708152
1201,29.5,77.5,32.83267180095108,5.127764832809952,48.215966299380945,17.449377302521228
1205,29.5,78.5,30.17493814342731,4.6228874024781375,44.04360035086172,16.306275935992893
1209,29.5,79.5,30.12426910190217,4.5220145101086064,43.69031263222799,16.55822557157635
1213,29.5,80.5,32.21796762720788,4.470477647865108,45.629400570803206,18.806534683612554
1217,30.5,73.5,33.84681557999321,5.959612673924067,51.72565360176542,15.967977558221008
1221,30.5,74.5,34.24814936616848,5.970212129319433,52.158785754126775,16.33751297821018
1225,30.5,75.5,34.039830352411684,5.884771333503548,51.694144352922315,16.385516351901042
1229,30.5,76.5,32.1364616148947,5.4490464054082,48.4836008311193,15.789322398670098
1233,30.5,77.5,30.15445334213655,5.014939135492048,45.19927074861269,15.109635935660405
1237,30.5,78.5,28.27064828099525,4.701567967144847,42.37535218242978,14.165944379560711
1241,30.5,79.5,28.506277844514265,4.517461889212602,42.05866351215207,14.953892176876463
1245,30.5,80.5,30.06551064130435,4.499498339729099,43.564005660491645,16.567015622117054
1249,31.5,74.5,33.594458194633155,5.9765216982030624,51.52402328924234,15.664893100023965
1253,31.5,75.5,32.52424040557065,5.844171515147709,50.05675495101379,14.991725860127525
1257,31.5,76.5,29.45451390310802,5.408808401058196,45.68093910628261,13.228088699933428
1261,31.5,77.5,27.93648406988791,4.946356056387401,42.77555223905011,13.097415900725707
1265,31.5,78.5,27.50823272342052,4.75812644975491,41.78261207268524,13.233853374155785
1269,31.5,79.5,26.263821949388586,4.51418517124779,39.80637746313195,12.72126643564522
1273,32.5,74.5,26.928049973590355,5.707304853840095,44.04996453511065,9.80613541207007
1277,32.5,75.5,28.07769723938519,5.5058559472107085,44.595265081017324,11.56012939775306
1281,32.5,76.5,26.535358130859372,5.306350498947507,42.4544096277019,10.616306634016851
1285,32.5,77.5,24.84756029086277,5.1278857880737965,40.23121765508417,9.463902926641378
1289,32.5,78.5,24.6611482731318,4.827692929101456,39.14422706043617,10.178069485827429
1293,32.5,79.5,23.522494017442256,4.58330764048939,37.272416938910425,9.772571095974088
1297,33.5,73.5,25.086706601574,5.615198519781496,41.932302160918475,8.241111042229509
1301,33.5,74.5,24.413387493376355,5.48305803972129,40.862561612540226,7.964213374212483
